Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
M3,Quarterly,TimeWarping,NHITS,TSTR,1.503966713,30076,5616,Success
M3,Quarterly,TimeWarping,MLP,Train+Real,1.154659197,60152,5616,Success
M3,Quarterly,TimeWarping,MLP,TSTR,1.437026683,30076,5616,Success
M3,Quarterly,TimeWarping,KAN,Train+Real,1.19091134,60152,5616,Success
M3,Quarterly,TimeWarping,KAN,TSTR,1.412890574,30076,5616,Success
M3,Quarterly,MagnitudeWarping,NHITS,Train+Real,1.195911587,60152,5616,Success
M3,Quarterly,MagnitudeWarping,NHITS,TSTR,1.293469816,30076,5616,Success
M3,Quarterly,MagnitudeWarping,MLP,Train+Real,1.182130616,60152,5616,Success
M3,Quarterly,MagnitudeWarping,MLP,TSTR,1.273709035,30076,5616,Success
M3,Quarterly,MagnitudeWarping,KAN,Train+Real,1.207685642,60152,5616,Success
M3,Quarterly,MagnitudeWarping,KAN,TSTR,1.275694597,30076,5616,Success
M3,Quarterly,TSMixup,NHITS,Train+Real,1.174113959,49311,5616,Success
M3,Quarterly,TSMixup,NHITS,TSTR,1.311730013,19235,5616,Success
M3,Quarterly,TSMixup,MLP,Train+Real,1.224856249,49311,5616,Success
M3,Quarterly,TSMixup,MLP,TSTR,1.241005084,19235,5616,Success
M3,Quarterly,TSMixup,KAN,Train+Real,1.273738571,49311,5616,Success
M3,Quarterly,TSMixup,KAN,TSTR,1.51006421,19235,5616,Success
M3,Quarterly,DBA,NHITS,Train+Real,1.181423074,65539,5616,Success
M3,Quarterly,DBA,NHITS,TSTR,1.190000735,35463,5616,Success
M3,Quarterly,DBA,MLP,Train+Real,1.13452761,65539,5616,Success
M3,Quarterly,DBA,MLP,TSTR,1.217901403,35463,5616,Success
M3,Quarterly,DBA,KAN,Train+Real,1.161872481,65539,5616,Success
M3,Quarterly,DBA,KAN,TSTR,1.242328844,35463,5616,Success
Tourism,Monthly,Grasynda_Uniform,NHITS,Train+Real,1.187319314,209618,4380,Success
Tourism,Monthly,Grasynda_Uniform,NHITS,TSTR,1.17624526,104809,4380,Success
Tourism,Monthly,Grasynda_Uniform,MLP,Train+Real,1.187656056,209618,4380,Success
Tourism,Monthly,Grasynda_Uniform,MLP,TSTR,1.176873758,104809,4380,Success
Tourism,Monthly,Grasynda_Uniform,KAN,Train+Real,1.187859527,209618,4380,Success
Tourism,Monthly,Grasynda_Uniform,KAN,TSTR,1.198516039,104809,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,NHITS,Train+Real,1.206587414,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,NHITS,TSTR,1.244540405,104809,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,MLP,Train+Real,1.219339969,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,MLP,TSTR,1.236462081,104809,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,KAN,Train+Real,1.193721528,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Horizontal,KAN,TSTR,1.230760596,104809,4380,Success
Tourism,Monthly,Grasynda_Vis_Natural,NHITS,Train+Real,1.186735848,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Natural,NHITS,TSTR,1.197538275,104809,4380,Success
